time,index_0x,index_0y,index_0z,index_1x,index_1y,index_1z,index_2x,index_2y,index_2z,index_3x,index_3y,index_3z,index_4x,index_4y,index_4z,index_5x,index_5y,index_5z,index_6x,index_6y,index_6z,index_7x,index_7y,index_7z,index_8x,index_8y,index_8z,index_9x,index_9y,index_9z,index_10x,index_10y,index_10z,index_11x,index_11y,index_11z,index_12x,index_12y,index_12z,index_13x,index_13y,index_13z,index_14x,index_14y,index_14z,index_15x,index_15y,index_15z,index_16x,index_16y,index_16z,index_17x,index_17y,index_17z,index_18x,index_18y,index_18z,index_19x,index_19y,index_19z,index_20x,index_20y,index_20z
0.0,1.40533447265625,8.7158203125,-1.995849609375,4.144287109375,5.6640625,-1.86767578125,5.4931640625,3.16162109375,-2.06298828125,6.256103515625,0.16937255859375,-1.898193359375,6.488037109375,-2.08740234375,-1.3671875,2.630615234375,-0.5615234375,0.433349609375,2.86712646484375,-3.3203125,-0.177001953125,2.85797119140625,-5.09033203125,-1.42822265625,3.228759765625,-6.48193359375,-3.741455078125,0.36468505859375,-0.45166015625,0.34332275390625,0.03337860107421875,-3.77197265625,0.1708984375,0.03662109375,-6.103515625,-1.1749267578125,0.421142578125,-7.720947265625,-3.91845703125,-1.78070068359375,0.35400390625,-0.1861572265625,-2.31170654296875,-2.740478515625,-0.50048828125,-2.37579345703125,-5.029296875,-1.96533203125,-2.081298828125,-6.77490234375,-3.851318359375,-3.07159423828125,1.55029296875,-1.300048828125,-4.3548583984375,-0.54931640625,-1.617431640625,-4.94384765625,-2.4871826171875,-2.5177001953125,-4.7760009765625,-3.961181640625,-3.851318359375
0.009,0.48675537109375,8.837890625,-1.4404296875,3.3721923828125,6.0302734375,-1.416015625,4.9774169921875,3.6376953125,-1.5960693359375,6.1279296875,0.63323974609375,-1.446533203125,6.787109375,-1.77001953125,-0.84228515625,2.55126953125,-0.45166015625,0.445556640625,3.08380126953125,-3.173828125,-0.146484375,3.4423828125,-4.94384765625,-1.1688232421875,3.9947509765625,-6.50634765625,-3.8604736328125,0.335693359375,-0.54931640625,0.384521484375,0.4787445068359375,-3.72314453125,0.189208984375,0.8056640625,-6.3232421875,-1.2115478515625,1.300048828125,-7.867431640625,-3.8055419921875,-1.7364501953125,0.2838134765625,-0.20599365234375,-1.95465087890625,-2.947998046875,-0.6591796875,-1.8402099609375,-5.31005859375,-1.904296875,-1.42059326171875,-7.012939453125,-3.77197265625,-2.97698974609375,1.46484375,-1.348876953125,-4.1412353515625,-0.933837890625,-1.5380859375,-4.5989990234375,-2.8656005859375,-2.5115966796875,-4.461669921875,-4.2633056640625,-3.863525390625
0.034,0.32806396484375,8.935546875,-1.458740234375,3.265380859375,6.1279296875,-1.434326171875,4.8797607421875,3.74755859375,-1.5777587890625,6.09130859375,0.74005126953125,-1.531982421875,6.8115234375,-1.654052734375,-0.909423828125,2.58636474609375,-0.45166015625,0.45166015625,3.1646728515625,-3.1005859375,-0.177001953125,3.5736083984375,-4.82177734375,-1.3092041015625,4.1046142578125,-6.33544921875,-4.0557861328125,0.35247802734375,-0.57373046875,0.39825439453125,0.5344390869140625,-3.79638671875,0.1312255859375,0.9124755859375,-6.2255859375,-1.3214111328125,1.49078369140625,-7.745361328125,-4.00390625,-1.74102783203125,0.274658203125,-0.1556396484375,-1.91497802734375,-2.935791015625,-0.67138671875,-1.708984375,-5.2734375,-2.0263671875,-1.23748779296875,-6.8359375,-3.875732421875,-3.03192138671875,1.40380859375,-1.3427734375,-4.1534423828125,-0.9521484375,-1.57470703125,-4.541015625,-2.8472900390625,-2.6092529296875,-4.3609619140625,-4.205322265625,-4.04052734375
0.065,0.33416748046875,8.9111328125,-1.531982421875,3.2806396484375,6.103515625,-1.46484375,4.9041748046875,3.72314453125,-1.6265869140625,6.1065673828125,0.77056884765625,-1.5533447265625,6.79931640625,-1.678466796875,-0.921630859375,2.61383056640625,-0.42724609375,0.482177734375,3.1646728515625,-3.076171875,-0.1556396484375,3.5400390625,-4.79736328125,-1.2481689453125,4.1168212890625,-6.28662109375,-4.034423828125,0.3570556640625,-0.5615234375,0.3936767578125,0.5428314208984375,-3.77197265625,0.1800537109375,0.9521484375,-6.201171875,-1.2786865234375,1.529693603515625,-7.757568359375,-3.924560546875,-1.7364501953125,0.25634765625,-0.18310546875,-1.91650390625,-2.911376953125,-0.67138671875,-1.69677734375,-5.28564453125,-2.008056640625,-1.25885009765625,-6.8603515625,-3.900146484375,-3.02886962890625,1.3916015625,-1.35498046875,-4.1534423828125,-0.994873046875,-1.580810546875,-4.5013427734375,-2.8717041015625,-2.6519775390625,-4.3304443359375,-4.2083740234375,-4.01611328125
0.102,0.30059814453125,8.88671875,-1.495361328125,3.25927734375,6.103515625,-1.4404296875,4.8828125,3.72314453125,-1.59912109375,6.1126708984375,0.7415771484375,-1.5625,6.768798828125,-1.611328125,-0.946044921875,2.5970458984375,-0.445556640625,0.469970703125,3.1585693359375,-3.076171875,-0.18310546875,3.570556640625,-4.79736328125,-1.2725830078125,4.144287109375,-6.31103515625,-4.052734375,0.3662109375,-0.5615234375,0.39825439453125,0.53863525390625,-3.74755859375,0.146484375,0.927734375,-6.21337890625,-1.3336181640625,1.5167236328125,-7.720947265625,-3.985595703125,-1.74102783203125,0.274658203125,-0.17852783203125,-1.922607421875,-2.923583984375,-0.7080078125,-1.69677734375,-5.2734375,-2.01416015625,-1.23138427734375,-6.854248046875,-3.86962890625,-3.04718017578125,1.37939453125,-1.3427734375,-4.1717529296875,-0.994873046875,-1.611328125,-4.547119140625,-2.8656005859375,-2.6031494140625,-4.3731689453125,-4.2327880859375,-3.99169921875
0.162,0.33416748046875,8.935546875,-1.4892578125,3.2318115234375,6.1279296875,-1.458740234375,4.8858642578125,3.7109375,-1.611328125,6.09130859375,0.7598876953125,-1.5716552734375,6.8115234375,-1.629638671875,-0.9033203125,2.60009765625,-0.408935546875,0.445556640625,3.1646728515625,-3.1005859375,-0.1312255859375,3.5675048828125,-4.82177734375,-1.226806640625,4.16259765625,-6.33544921875,-4.0008544921875,0.3509521484375,-0.57373046875,0.40435791015625,0.5252838134765625,-3.79638671875,0.1800537109375,0.927734375,-6.2255859375,-1.2420654296875,1.513671875,-7.757568359375,-3.924560546875,-1.708984375,0.262451171875,-0.1617431640625,-1.934814453125,-2.935791015625,-0.67138671875,-1.727294921875,-5.2978515625,-1.934814453125,-1.28173828125,-6.9091796875,-3.851318359375,-2.99224853515625,1.4404296875,-1.3427734375,-4.1473388671875,-0.958251953125,-1.5625,-4.5745849609375,-2.8472900390625,-2.5787353515625,-4.4525146484375,-4.2022705078125,-3.936767578125
0.194,0.29754638671875,8.88671875,-1.4404296875,3.2470703125,6.103515625,-1.416015625,4.876708984375,3.7353515625,-1.5869140625,6.060791015625,0.7598876953125,-1.5350341796875,6.77490234375,-1.5869140625,-0.946044921875,2.59246826171875,-0.433349609375,0.45166015625,3.167724609375,-3.076171875,-0.177001953125,3.5552978515625,-4.79736328125,-1.2359619140625,4.1473388671875,-6.31103515625,-4.0191650390625,0.3509521484375,-0.5615234375,0.38909912109375,0.534820556640625,-3.74755859375,0.1708984375,0.9246826171875,-6.201171875,-1.2847900390625,1.540374755859375,-7.720947265625,-3.936767578125,-1.73797607421875,0.2410888671875,-0.18310546875,-1.934814453125,-2.935791015625,-0.7080078125,-1.72271728515625,-5.2734375,-1.971435546875,-1.19171142578125,-6.878662109375,-3.839111328125,-3.04718017578125,1.40380859375,-1.348876953125,-4.1778564453125,-0.9918212890625,-1.593017578125,-4.5623779296875,-2.8594970703125,-2.6092529296875,-4.400634765625,-4.254150390625,-4.00390625
0.226,0.29144287109375,8.9111328125,-1.556396484375,3.2623291015625,6.1279296875,-1.483154296875,4.8858642578125,3.7109375,-1.64794921875,6.06689453125,0.76904296875,-1.580810546875,6.781005859375,-1.629638671875,-0.93994140625,2.61993408203125,-0.421142578125,0.45166015625,3.192138671875,-3.076171875,-0.1556396484375,3.570556640625,-4.82177734375,-1.2664794921875,4.1748046875,-6.26220703125,-4.0191650390625,0.34332275390625,-0.54931640625,0.3875732421875,0.531005859375,-3.77197265625,0.1739501953125,0.9185791015625,-6.21337890625,-1.2603759765625,1.52587890625,-7.720947265625,-3.94287109375,-1.739501953125,0.2471923828125,-0.16021728515625,-1.9134521484375,-2.947998046875,-0.634765625,-1.7364501953125,-5.2978515625,-1.947021484375,-1.2542724609375,-6.878662109375,-3.826904296875,-3.05633544921875,1.37939453125,-1.318359375,-4.1900634765625,-0.994873046875,-1.580810546875,-4.5806884765625,-2.8717041015625,-2.5848388671875,-4.40673828125,-4.229736328125,-3.948974609375
0.265,0.2777099609375,8.9111328125,-1.531982421875,3.271484375,6.0791015625,-1.4892578125,4.876708984375,3.6865234375,-1.64794921875,6.072998046875,0.7080078125,-1.5655517578125,6.79931640625,-1.678466796875,-0.958251953125,2.60772705078125,-0.408935546875,0.433349609375,3.2012939453125,-3.1005859375,-0.189208984375,3.558349609375,-4.79736328125,-1.28173828125,4.1290283203125,-6.33544921875,-4.0283203125,0.3570556640625,-0.5615234375,0.390625,0.5504608154296875,-3.74755859375,0.1556396484375,0.909423828125,-6.21337890625,-1.2664794921875,1.528167724609375,-7.769775390625,-3.924560546875,-1.72576904296875,0.225830078125,-0.1373291015625,-1.90887451171875,-2.947998046875,-0.634765625,-1.70440673828125,-5.28564453125,-1.922607421875,-1.1993408203125,-6.903076171875,-3.7841796875,-3.07464599609375,1.37939453125,-1.300048828125,-4.2205810546875,-1.0284423828125,-1.531982421875,-4.583740234375,-2.8900146484375,-2.5421142578125,-4.3914794921875,-4.2816162109375,-3.948974609375
0.312,0.39215087890625,8.8623046875,-1.568603515625,3.3294677734375,6.0546875,-1.470947265625,4.913330078125,3.64990234375,-1.5533447265625,6.134033203125,0.6744384765625,-1.4404296875,6.744384765625,-1.702880859375,-0.799560546875,2.57568359375,-0.433349609375,0.457763671875,3.143310546875,-3.076171875,-0.140380859375,3.47900390625,-4.87060546875,-1.190185546875,4.0740966796875,-6.35986328125,-3.8970947265625,0.34332275390625,-0.52490234375,0.37384033203125,0.5008697509765625,-3.72314453125,0.2197265625,0.86669921875,-6.25,-1.1810302734375,1.3641357421875,-7.855224609375,-3.790283203125,-1.7425537109375,0.2349853515625,-0.17547607421875,-1.898193359375,-2.923583984375,-0.57373046875,-1.73492431640625,-5.28564453125,-1.904296875,-1.2481689453125,-6.939697265625,-3.6865234375,-3.01361083984375,1.3427734375,-1.318359375,-4.1473388671875,-1.0406494140625,-1.5380859375,-4.5440673828125,-2.9327392578125,-2.5115966796875,-4.345703125,-4.35791015625,-3.86962890625
